EQUIPO:Los Cebollas;Cordovilladi<;cebolletascamboyanos@gmail.com
PORTERO:Raul ;Navas Moreno;613512351E;raulitoelprogramador;6124234;2004;11;12;1
JUGADOR:Mario;Guerreo Muñoz;551231e;maritoelduoQ@gmail.com;5641512;2004;7;125
JUGADOR:Adri;No me acuerdo;51223e;eldejerez@gmail.comm;512512;2004;88;52
JUGADOR:Mohamed;Ali Ferah;5152332E;mohamedelalqaeda@gmail.com;64142512;2004;17;43
JUGADOR:Manolo;Navas Lopez;6125213e;manolitoelprimo@gmail.com;623512512;2004;8;83
JUGADOR:Alejandra;Garcia;51235123E;alejandragarciasojo@gmail.com;63355123;2004;17;19
JUGADOR:Jesus;Ramirillo alias Chapo;532112e;chapitochulo@gmail.com;6123612;2002;12;33
JUGADOR:Manu;Castillo;52512125E;manolitoelalexander@gmail.com;641351235;2004;18;45
JUGADOR:Jose;Sanchez;532113e;joselinelguero@gmail.com;61252135;2004;10;100
JUGADOR:Ismael;Rivas Cano;512511r;elbocariguense@gmail.com;6321231;2004;5;25

PD: Este archivo ha sido creado desde una aplicacion JAVA
    y se ha exportado en formato CSV
